id,categoria,subcategoria,mensaje,intencion_esperada,productos_en_mensaje,notas
1,A_onboarding,cancelar,porfa cancelar pedido,cancelar,no,comando/intencion global
2,A_onboarding,reservar,oye reservar mesa ???,reservar,no,comando/intencion global
3,A_onboarding,reservar,??? mesa para 4 porfa,reservar,no,comando/intencion global
4,A_onboarding,menu,oye precios plis 618,menu,no,comando/intencion global
5,A_onboarding,saludo,porfa buenas plis,saludo,no,saludo puro
6,A_onboarding,reservar,porfa mesa para 4 porfa,reservar,no,comando/intencion global
7,A_onboarding,saludo,buenas buenas !!,saludo,no,saludo puro
8,A_onboarding,cancelar,buenas anular pedido,cancelar,no,comando/intencion global
9,A_onboarding,saludo,please buenos dias !!,saludo,no,saludo puro
10,A_onboarding,saludo,please hola !! 430,saludo,no,saludo puro
11,A_onboarding,cancelar,buenas ya no quiero el pedido porfa,cancelar,no,comando/intencion global
12,A_onboarding,pedido,please tengo hambre gracias,pedido,no,comando/intencion global
13,A_onboarding,cancelar,buenas cancelar pedido porfa,cancelar,no,comando/intencion global
14,A_onboarding,saludo,??? buenos dias,saludo,no,saludo puro
15,A_onboarding,pedido,please quiero comer porfa,pedido,no,comando/intencion global
16,A_onboarding,reservar,👋 quiero reservar,reservar,no,comando/intencion global
17,A_onboarding,inicio,buenas menu principal plis 892,inicio,no,comando/intencion global
18,A_onboarding,menu,oye que hay de comer ???,menu,no,comando/intencion global
19,A_onboarding,pedido,voy a pedir plis 356,pedido,no,comando/intencion global
20,A_onboarding,saludo,buenas hola ???,saludo,no,saludo puro
21,A_onboarding,pedido,👋 me gustaria pedir porfa,pedido,no,comando/intencion global
22,A_onboarding,menu,buenas que hay de comer ??? 79,menu,no,comando/intencion global
23,A_onboarding,menu,porfa que me recomiendan plis,menu,no,comando/intencion global
24,A_onboarding,saludo,oye hola porfa,saludo,no,saludo puro
25,A_onboarding,pedido,hacer pedido,pedido,no,comando/intencion global
26,A_onboarding,menu,porfa precios ???,menu,no,comando/intencion global
27,A_onboarding,menu,👋 que hay de comer porfa,menu,no,comando/intencion global
28,A_onboarding,saludo,👋 buenas plis,saludo,no,saludo puro
29,A_onboarding,reservar,buenas quiero reservar !!,reservar,no,comando/intencion global
30,A_onboarding,cancelar,oye cancelar plis,cancelar,no,comando/intencion global
31,A_onboarding,menu,oye ver la carta porfa,menu,no,comando/intencion global
32,A_onboarding,cancelar,porfa cancelar pedido gracias,cancelar,no,comando/intencion global
33,A_onboarding,inicio,reiniciar gracias,inicio,no,comando/intencion global
34,A_onboarding,inicio,please volver al inicio,inicio,no,comando/intencion global
35,A_onboarding,menu,ver el menu porfa,menu,no,comando/intencion global
36,A_onboarding,inicio,buenas volver al inicio ???,inicio,no,comando/intencion global
37,A_onboarding,saludo,👋 buenas gracias,saludo,no,saludo puro
38,A_onboarding,pedido,👋 quiero comer plis 415,pedido,no,comando/intencion global
39,A_onboarding,saludo,buenas hola porfa,saludo,no,saludo puro
40,A_onboarding,pedido,oye voy a pedir gracias,pedido,no,comando/intencion global
41,A_onboarding,pedido,??? me gustaria pedir porfa,pedido,no,comando/intencion global
42,A_onboarding,pedido,oye ordenar,pedido,no,comando/intencion global
43,A_onboarding,menu,please ver el menu !!,menu,no,comando/intencion global
44,A_onboarding,pedido,??? hacer pedido ???,pedido,no,comando/intencion global
45,A_onboarding,pedido,voy a pedir,pedido,no,comando/intencion global
46,A_onboarding,menu,oye catalogo !!,menu,no,comando/intencion global
47,A_onboarding,menu,buenas muestrame el menu gracias,menu,no,comando/intencion global
48,A_onboarding,inicio,buenas menu principal ???,inicio,no,comando/intencion global
49,A_onboarding,pedido,porfa voy a pedir ???,pedido,no,comando/intencion global
50,A_onboarding,inicio,👋 empezar de nuevo ???,inicio,no,comando/intencion global
51,A_onboarding,reservar,porfa agendar mesa,reservar,no,comando/intencion global
52,A_onboarding,pedido,oye voy a pedir,pedido,no,comando/intencion global
53,A_onboarding,reservar,oye mesa para 2 personas !!,reservar,no,comando/intencion global
54,A_onboarding,cancelar,porfa anular pedido plis,cancelar,no,comando/intencion global
55,A_onboarding,cancelar,??? ya no quiero el pedido porfa,cancelar,no,comando/intencion global
56,A_onboarding,inicio,??? volver al inicio plis,inicio,no,comando/intencion global
57,A_onboarding,inicio,porfa volver al inicio !!,inicio,no,comando/intencion global
58,A_onboarding,saludo,please hola porfa,saludo,no,saludo puro
59,A_onboarding,saludo,👋 hola !!,saludo,no,saludo puro
60,A_onboarding,reservar,??? mesa para 2 personas porfa,reservar,no,comando/intencion global
61,A_onboarding,pedido,porfa hacer pedido porfa,pedido,no,comando/intencion global
62,A_onboarding,menu,porfa catalogo !!,menu,no,comando/intencion global
63,A_onboarding,menu,porfa ver la carta plis,menu,no,comando/intencion global
64,A_onboarding,menu,catalogo porfa,menu,no,comando/intencion global
65,A_onboarding,reservar,oye mesa para 4 gracias,reservar,no,comando/intencion global
66,A_onboarding,reservar,oye mesa para 2 personas porfa,reservar,no,comando/intencion global
67,A_onboarding,inicio,oye menu principal porfa,inicio,no,comando/intencion global
68,A_onboarding,inicio,👋 inicio ???,inicio,no,comando/intencion global
